City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Souillac,MU,-20.5167,57.5167,80.98,74,20,3.44,few clouds
80,Torbay,CA,47.6666,-52.7314,38.17,76,100,12.66,light rain
81,Atuona,PF,-9.8,-139.0333,77.16,79,10,13.69,light rain
82,Penzance,GB,50.1186,-5.5371,49.77,93,100,29.8,overcast clouds
83,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1.99,66,0,4.47,clear sky
84,Vaini,TO,-21.2,-175.2,78.96,94,20,4.61,few clouds
85,Leh,IN,34.1667,77.5833,2.07,64,100,2.04,overcast clouds
86,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,91,1.99,overcast clouds
87,Alta Floresta,BR,-9.8756,-56.0861,73.22,100,100,1.14,overcast clouds
88,Constantine,DZ,36.365,6.6147,56.61,50,75,4.61,broken clouds
89,Bonfim,BR,3.0833,-59.95,89.24,46,60,11.83,broken clouds
90,High Rock,BS,26.6208,-78.2833,75.22,77,0,8.52,clear sky
91,Shubarshi,KZ,48.5872,57.1869,30.72,87,100,16.04,overcast clouds
92,Zhucheng,CN,35.9947,119.3975,39.4,73,100,4.21,overcast clouds
93,Klaksvik,FO,62.2266,-6.589,41.92,83,100,11.95,overcast clouds
94,Oussouye,SN,12.485,-16.5469,98.78,12,4,10.56,clear sky
95,Upernavik,GL,72.7868,-56.1549,-4.83,98,100,13.89,overcast clouds
96,Sorland,NO,67.667,12.6934,32.31,63,47,7.7,scattered clouds
97,Tautira,PF,-17.7333,-149.15,75.22,76,98,12.3,overcast clouds
98,Cockburn Town,TC,21.4612,-71.1419,77.65,75,1,21.74,clear sky
99,Kaitangata,NZ,-46.2817,169.8464,51.93,69,100,9.4,overcast clouds
100,Yaan,NG,7.3833,8.5667,99.21,6,55,5.41,broken clouds
101,Katsuura,JP,35.1333,140.3,41.11,56,100,3.22,overcast clouds
102,Lebyazhye,RU,55.2689,66.4947,-5.8,100,93,1.68,overcast clouds
103,Thompson,CA,55.7435,-97.8558,-21.84,76,0,3.44,clear sky
104,Vangaindrano,MG,-23.35,47.6,75.13,82,11,5.91,few clouds
105,Filadelfia,US,39.9523,-75.1638,59.34,48,75,12.66,broken clouds
106,Beira,MZ,-19.8436,34.8389,84.29,70,20,14.97,few clouds
107,Touros,BR,-5.1989,-35.4608,86.9,61,38,10.8,scattered clouds
108,Christchurch,NZ,-43.5333,172.6333,51.03,93,75,16.11,moderate rain
109,Vatra Moldovitei,RO,47.65,25.5667,34.93,93,42,3.0,scattered clouds
110,Hervey Bay,AU,-25.2986,152.8535,69.91,66,90,22.01,overcast clouds
111,Eyl,SO,7.9803,49.8164,76.15,66,85,18.88,overcast clouds
112,Portland,US,45.5234,-122.6762,46.81,60,0,10.0,clear sky
113,Mount Isa,AU,-20.7333,139.5,74.97,78,52,6.91,broken clouds
114,Porto Empedocle,IT,37.2934,13.5264,58.89,71,100,2.93,overcast clouds
115,Georgetown,MY,5.4112,100.3354,82.89,83,20,2.3,few clouds
116,Roebourne,AU,-20.7833,117.1333,86.97,66,48,4.18,scattered clouds
117,Tiksi,RU,71.6872,128.8694,-9.83,92,93,18.05,overcast clouds
118,Meadow Lake,US,34.8014,-106.5436,37.83,58,19,7.16,few clouds
119,Hami,CN,42.8,93.45,28.76,55,82,1.36,broken clouds
120,Hermanus,ZA,-34.4187,19.2345,74.89,81,96,6.87,overcast clouds
121,Topchikha,RU,52.8192,83.1185,3.78,100,42,6.31,scattered clouds
122,Namibe,AO,-15.1961,12.1522,80.44,62,58,10.92,broken clouds
123,Moba,CN,33.2288,105.0179,29.46,88,55,4.14,broken clouds
124,Lebu,CL,-37.6167,-73.65,69.71,53,5,12.46,clear sky
125,Dikson,RU,73.5069,80.5464,0.32,75,100,28.16,overcast clouds
126,Buckeye,US,33.3703,-112.5838,68.68,23,0,5.75,clear sky
127,Hobart,AU,-42.8794,147.3294,57.06,73,92,8.05,overcast clouds
128,George,ZA,-33.963,22.4617,76.55,65,0,8.05,clear sky
129,San Patricio,US,28.017,-97.5169,65.93,74,0,15.95,clear sky
130,Calarasi,MD,47.2544,28.3081,37.22,58,76,12.3,broken clouds
131,Vaitape,PF,-16.5167,-151.75,79.61,77,75,13.94,light rain
132,Yomou,GN,7.5603,-9.2653,98.15,8,46,3.11,scattered clouds
133,Mandalgovi,MN,45.7625,106.2708,-6.0,82,42,4.74,scattered clouds
134,Wyndham,US,37.6985,-77.6125,65.01,39,0,8.05,clear sky
135,Belyy Yar,RU,53.6039,91.3903,-20.31,56,25,0.0,smoke
136,San Cristobal,VE,7.7669,-72.225,73.58,41,95,9.24,overcast clouds
137,Port Blair,IN,11.6667,92.75,80.64,69,40,13.8,haze
138,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,75,5.75,broken clouds
139,Gornopravdinsk,RU,60.05,69.9,3.13,92,85,9.48,overcast clouds
140,Marsassoum,SN,12.8275,-15.9806,98.69,6,5,11.63,clear sky
141,Fairbanks,US,64.8378,-147.7164,-5.03,82,100,4.61,overcast clouds
142,Half Moon Bay,US,37.4636,-122.4286,63.97,69,0,3.44,mist
143,Linjiang,CN,41.8069,126.9078,15.64,97,100,2.3,overcast clouds
144,Birao,CF,10.2849,22.7882,90.66,8,7,8.61,clear sky
145,Magallanes,PH,9.02,125.5172,73.02,91,96,5.03,overcast clouds
146,Zeya,RU,53.75,127.2667,-5.93,90,98,4.34,overcast clouds
147,Aykhal,RU,66.0,111.5,-5.62,100,87,4.16,overcast clouds
148,Laguna,US,38.421,-121.4238,61.09,93,0,0.0,mist
149,Oistins,BB,13.0667,-59.5333,77.09,69,75,28.77,broken clouds
150,Buraydah,SA,26.326,43.975,59.45,27,0,10.02,clear sky
151,Kapaa,US,22.0752,-159.319,71.82,79,8,8.97,clear sky
152,Panzhihua,CN,26.5851,101.7128,51.19,51,20,1.16,few clouds
153,Taoudenni,ML,22.6783,-3.9836,76.71,13,0,12.06,clear sky
154,Ostrovnoy,RU,68.0531,39.5131,18.52,96,86,8.1,light snow
155,Batticaloa,LK,7.7102,81.6924,78.17,88,100,9.89,overcast clouds
156,Nikolskoye,RU,59.7035,30.7861,34.72,95,100,12.3,light snow
157,Saskylakh,RU,71.9167,114.0833,0.66,77,34,13.49,scattered clouds
158,Mahebourg,MU,-20.4081,57.7,80.89,74,20,3.44,few clouds
159,Amapa,BR,1.0,-52.0,82.6,73,97,4.97,overcast clouds
160,Umm Kaddadah,SD,13.6017,26.6876,74.34,10,8,12.12,clear sky
161,Lagos,NG,6.5833,3.75,91.72,56,100,10.33,overcast clouds
162,Rawson,AR,-43.3002,-65.1023,78.51,20,94,1.45,overcast clouds
163,Roswell,US,34.0232,-84.3616,61.59,70,0,10.36,clear sky
164,Kendari,ID,-3.945,122.4989,75.99,94,99,3.89,overcast clouds
165,Sitka,US,57.0531,-135.33,42.69,81,100,10.36,moderate rain
166,Kutum,SD,14.2,24.6667,75.11,8,49,8.88,scattered clouds
167,Sawtell,AU,-30.3833,153.1,66.22,77,40,11.5,scattered clouds
168,East London,ZA,-33.0153,27.9116,83.34,78,20,13.8,few clouds
169,Hovd,MN,48.0056,91.6419,-15.79,85,28,4.25,scattered clouds
170,Wonthaggi,AU,-38.6044,145.5913,64.71,75,5,13.8,clear sky
171,San Vicente,AR,-26.6167,-54.1333,90.99,30,35,5.73,scattered clouds
172,Lagoa,PT,39.05,-27.9833,59.99,86,100,21.23,overcast clouds
173,Provideniya,RU,64.3833,-173.3,-12.17,83,2,6.11,clear sky
174,Dyersburg,US,36.0345,-89.3856,35.74,64,100,10.36,overcast clouds
175,Aksarka,RU,66.5606,67.7975,-7.91,90,100,9.17,overcast clouds
176,Tabou,CI,4.423,-7.3528,83.32,69,59,9.78,broken clouds
177,Piacabucu,BR,-10.4056,-36.4344,86.83,59,22,15.73,few clouds
178,Rey Bouba,CM,8.6724,14.1786,97.79,7,26,5.3,scattered clouds
179,Adrar,MR,20.5022,-10.0711,78.75,15,22,14.16,few clouds
180,Puno,PE,-15.8333,-70.0333,54.72,56,99,10.54,overcast clouds
181,Nuuk,GL,64.1835,-51.7216,18.88,92,100,11.01,overcast clouds
182,Geraldton,AU,-28.7667,114.6,72.01,78,5,14.97,clear sky
183,College,US,64.8569,-147.8028,-5.03,84,100,0.0,overcast clouds
184,Ancud,CL,-41.8697,-73.8203,76.23,61,71,6.2,broken clouds
185,Bintulu,MY,3.1667,113.0333,77.41,100,40,2.3,scattered clouds
186,Sola,VU,-13.8833,167.55,77.76,83,100,8.63,overcast clouds
187,Shache,CN,38.4167,77.2406,38.39,37,69,5.91,broken clouds
188,Nanortalik,GL,60.1432,-45.2371,31.14,91,100,8.61,light snow
189,Xapuri,BR,-10.6517,-68.5044,86.65,60,99,1.68,overcast clouds
190,Ribeira Grande,PT,38.5167,-28.7,64.8,77,75,19.57,broken clouds
191,Eureka,US,40.8021,-124.1637,47.59,55,0,3.8,clear sky
192,Guerrero Negro,MX,27.9769,-114.0611,63.97,58,99,4.99,overcast clouds
193,Dingle,PH,10.9995,122.6711,75.04,91,91,8.68,overcast clouds
194,High Level,CA,58.5169,-117.136,-9.29,84,100,0.0,overcast clouds
195,Vao,NC,-22.6667,167.4833,80.17,82,100,5.75,overcast clouds
196,Nelson Bay,AU,-32.7167,152.15,72.0,66,65,3.0,broken clouds
197,Igrim,RU,63.1906,64.4162,5.43,95,100,8.52,light snow
198,Bam,IR,29.106,58.357,59.58,27,2,14.41,clear sky
199,Clyde River,CA,70.4692,-68.5914,-16.37,69,100,24.16,light snow
200,Locri,IT,38.2414,16.2623,60.24,84,100,6.69,overcast clouds
201,Apricena,IT,41.7839,15.4437,49.14,73,64,6.91,broken clouds
202,Nicoya,CR,10.1483,-85.452,83.75,39,9,10.29,clear sky
203,Lamar,US,33.6668,-95.5836,37.31,44,100,19.57,overcast clouds
204,Araouane,ML,18.9048,-3.5265,78.35,9,2,12.35,clear sky
205,Saldanha,ZA,-33.0117,17.9442,71.65,90,100,17.36,overcast clouds
206,Baruun-Urt,MN,46.6806,113.2792,-12.06,99,62,3.96,broken clouds
207,Solnechnyy,RU,50.7214,136.6319,10.76,92,100,7.23,overcast clouds
208,Tasiilaq,GL,65.6145,-37.6368,6.24,64,100,2.93,overcast clouds
209,Hasaki,JP,35.7333,140.8333,30.6,58,34,6.78,scattered clouds
210,Saint Anthony,US,45.0205,-93.218,-0.15,70,40,5.75,scattered clouds
211,Mabay,PH,6.0577,124.4666,77.83,70,100,4.09,overcast clouds
212,Manicore,BR,-5.8092,-61.3003,90.68,50,89,2.91,overcast clouds
213,Kerrville,US,30.0474,-99.1403,51.67,52,100,19.57,overcast clouds
214,Havoysund,NO,70.9963,24.6622,25.68,54,94,20.0,light snow
215,Bogoslovka,RU,53.2084,44.8013,28.11,40,100,8.63,overcast clouds
216,Boralday,KZ,43.3578,76.8594,26.46,100,100,6.71,mist
217,Marawi,PH,7.9986,124.2928,66.65,92,100,2.55,overcast clouds
218,Mount Gambier,AU,-37.8333,140.7667,60.71,82,75,4.61,broken clouds
219,Havelock,US,34.8791,-76.9013,67.05,53,65,5.01,broken clouds
220,Tiznit,MA,29.5833,-9.5,66.04,39,0,14.09,clear sky
221,Noumea,NC,-22.2763,166.4572,80.01,99,95,4.12,overcast clouds
222,Lasa,IT,46.6166,10.7002,38.62,69,0,2.08,clear sky
223,Nalut,LY,30.3333,10.85,63.18,22,15,4.25,few clouds
224,Banatski Karlovac,RS,45.0472,21.0161,46.15,55,36,7.47,scattered clouds
225,Udachnyy,RU,66.4167,112.4,-11.65,100,93,3.33,overcast clouds
226,Ponta Do Sol,PT,32.6667,-17.1,68.13,53,14,2.66,few clouds
227,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.12,99,100,1.41,light rain
228,Druzhba,UA,52.0428,33.9453,21.27,93,18,8.59,few clouds
229,Parana,AR,-31.732,-60.5238,72.57,48,97,11.74,overcast clouds
230,Aguie,NE,13.506,7.7786,87.01,7,6,11.72,clear sky
231,Saint George,US,37.1041,-113.5841,50.54,27,0,8.01,clear sky
232,Sisimiut,GL,66.9395,-53.6735,13.91,89,88,34.45,overcast clouds
233,Surt,LY,31.2089,16.5887,60.66,51,3,8.1,clear sky
234,Regeneracao,BR,-6.2378,-42.6883,84.4,68,56,3.65,broken clouds
235,Makakilo City,US,21.3469,-158.0858,70.68,82,23,6.04,few clouds
236,Kodiak,US,57.79,-152.4072,34.25,82,39,11.3,scattered clouds
237,Nieuw Amsterdam,SR,5.8833,-55.0833,84.36,80,75,6.91,broken clouds
238,Abonnema,NG,4.7084,6.7931,91.22,47,92,16.13,overcast clouds
239,Krasnoselkup,RU,65.7,82.4667,-5.37,90,5,13.38,clear sky
240,Mansehra,PK,34.3333,73.2,47.03,47,12,3.8,few clouds
241,Porto Nacional,BR,-10.7081,-48.4172,80.6,72,84,0.29,broken clouds
242,Harper,LR,4.375,-7.7169,83.97,67,64,8.52,broken clouds
243,Saint-Augustin,CA,51.226,-58.6502,30.52,99,100,16.15,snow
244,Bunol,ES,39.4167,-0.7833,57.16,66,19,7.43,few clouds
245,Ola,RU,59.5833,151.2833,-10.41,83,90,7.07,overcast clouds
246,Dongsheng,CN,39.8161,109.9776,22.66,44,47,6.55,scattered clouds
247,Cayenne,GF,4.9333,-52.3333,79.09,86,75,12.66,mist
248,Kathu,TH,7.9178,98.3332,87.69,69,99,7.56,overcast clouds
249,Moranbah,AU,-22.0016,148.0466,71.47,76,24,12.8,few clouds
250,Henderson,US,36.0397,-114.9819,60.13,27,0,8.05,clear sky
251,Najibabad,IN,29.6333,78.3333,53.29,59,0,3.74,clear sky
252,Bavleny,RU,56.4,39.56,19.99,91,43,11.65,scattered clouds
253,Corner Brook,CA,48.9667,-57.9484,40.21,100,100,10.27,overcast clouds
254,Kasempa,ZM,-13.4584,25.8338,69.62,90,100,1.25,light rain
255,Dinar,TR,38.065,30.1656,44.56,69,83,4.07,broken clouds
256,Toora-Khem,RU,52.4675,96.11,-24.18,100,51,0.92,broken clouds
257,Bandar,ID,2.05,99.75,72.23,98,99,2.71,overcast clouds
258,Buala,SB,-8.145,159.5921,76.69,86,100,2.66,light rain
259,Khatanga,RU,71.9667,102.5,-13.27,86,94,7.96,overcast clouds
260,Henties Bay,NA,-22.116,14.2845,74.39,78,8,6.11,light rain
261,Makat,KZ,47.6469,53.3463,33.03,97,100,7.74,overcast clouds
262,Severo-Kurilsk,RU,50.6789,156.125,18.63,79,77,3.31,broken clouds
263,Kavaratti,IN,10.5669,72.642,80.89,70,2,6.38,clear sky
264,Pennathur,IN,12.25,79.2333,73.89,69,19,8.37,few clouds
265,Pavlodar,KZ,52.3,76.95,13.8,85,100,13.42,light snow
266,Port Keats,AU,-14.25,129.55,80.87,80,19,2.66,few clouds
267,Haines Junction,CA,60.7522,-137.5108,35.55,64,82,8.05,broken clouds
268,Port Hedland,AU,-20.3167,118.5667,84.25,84,53,0.0,broken clouds
