City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
163,Roswell,US,61.59,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
164,Kendari,ID,75.99,overcast clouds,-3.945,122.4989,Hotel Wixel
166,Kutum,SD,75.11,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
167,Sawtell,AU,66.22,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
170,Wonthaggi,AU,64.71,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
172,Lagoa,PT,59.99,overcast clouds,39.05,-27.9833,Casa Das Faias
180,Puno,PE,54.72,overcast clouds,-15.8333,-70.0333,Hotel Hacienda Plaza De Armas - Puno
182,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
184,Ancud,CL,76.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
185,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
186,Sola,VU,77.76,overcast clouds,-13.8833,167.55,Leumerus Bungalows
190,Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
192,Guerrero Negro,MX,63.97,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
193,Dingle,PH,75.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
196,Nelson Bay,AU,72.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
198,Bam,IR,59.58,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
200,Locri,IT,60.24,overcast clouds,38.2414,16.2623,Grand Hotel President
205,Saldanha,ZA,71.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
211,Mabay,PH,77.83,overcast clouds,6.0577,124.4666,Bautista Lodging House
213,Kerrville,US,51.67,overcast clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
217,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
218,Mount Gambier,AU,60.71,broken clouds,-37.8333,140.7667,The Commodore
219,Havelock,US,67.05,broken clouds,34.8791,-76.9013,Sherwood Motel
226,Ponta Do Sol,PT,68.13,few clouds,32.6667,-17.1,Hotel do Campo
227,Sao Felix Do Xingu,BR,72.12,light rain,-6.6447,-51.995,Rio Xingu Camping
229,Parana,AR,72.57,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
231,Saint George,US,50.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
233,Surt,LY,60.66,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
235,Makakilo City,US,70.68,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
244,Bunol,ES,57.16,few clouds,39.4167,-0.7833,HOTEL CONDES DE BUÑOL
247,Cayenne,GF,79.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
249,Moranbah,AU,71.47,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
250,Henderson,US,60.13,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
251,Najibabad,IN,53.29,clear sky,29.6333,78.3333,OYO 48552 Hotel Chandrayan
254,Kasempa,ZM,69.62,light rain,-13.4584,25.8338,Lolelunga Forest Reserve
258,Buala,SB,76.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
264,Pennathur,IN,73.89,few clouds,12.25,79.2333,Arumugam Sugarcane Juice Shop
271,Mercedes,AR,70.65,few clouds,-34.6515,-59.4307,Posada del Inti Centro
272,Isoka,ZM,64.9,moderate rain,-10.1606,32.6335,Location Compound
274,Along,IN,50.2,clear sky,28.1667,94.7667,Hotel West
277,Lompoc,US,71.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
278,Hays,US,53.98,scattered clouds,30.0502,-98.0336,Sinya on Lone Man Creek
283,Lima,PE,76.14,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
284,Sakakah,SA,62.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
291,Awbari,LY,65.26,clear sky,26.5921,12.7805,فندق أوباري
292,Tura,IN,55.85,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
294,Sawang Daen Din,TH,78.03,overcast clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
295,Korcula,HR,52.36,scattered clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
298,Puerto Montt,CL,63.43,clear sky,-41.4698,-72.9447,Gran Hotel Vicente Costanera
299,Padang,ID,78.24,overcast clouds,-0.9492,100.3543,Mercure Padang
302,Codrington,AU,63.63,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
303,Colac,AU,64.62,few clouds,-38.3333,143.5833,Otway Gate Motel
304,Dolores Hidalgo,MX,56.79,overcast clouds,21.1561,-100.9308,Hotel Hidalgo
305,Bilma,NE,77.74,clear sky,18.6853,12.9164,Expeditions Ténére voyages
306,Yarmouth,US,58.44,clear sky,41.7057,-70.2286,Blue Rock Resort
307,Koumac,NC,78.17,broken clouds,-20.5667,164.2833,Le Monitel
311,Tuy Hoa,VN,73.87,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
312,Tanete,ID,74.59,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
314,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
315,Kieta,PG,78.04,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
316,Mitsamiouli,KM,79.39,light rain,-11.3847,43.2844,Foyer ADM
317,Sanming,CN,55.65,light rain,26.2486,117.6186,Sanming Huangting Lijing Hotel
318,Bengkulu,ID,77.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
319,Kingman,US,56.12,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
333,Mocuba,MZ,75.54,light rain,-16.8392,36.9856,Phama Lodge
335,Namatanai,PG,78.15,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
339,Jibuti,DJ,70.77,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
340,Antofagasta,CL,74.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
347,Tocopilla,CL,74.1,clear sky,-22.092,-70.1979,Hotel Galvarino
348,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
